ticket_id,movie_id,title,release_date,original_language,adult,cinema,city,show_time,seat_category,age,sex,no_of_persons,ticket_type,ticket_price,payment_price,payment_type,booking_date
TKT0000046,7640599,Sitaare Zameen Par,2025-06-20,hi,FALSE,Mukta A2,Chandigarh,Morning,Platinum,28,Female,5,VIP,220,1111,Debit Card,2025-07-11
TKT0000047,7446754,Vicky Vidya Ka Woh Wala Video,2024-10-11,hi,FALSE,Miraj,Chandigarh,Afternoon,Silver,58,Male,1,Regular,240,260,Wallet,2024-10-13
TKT0000048,1871807,Sikandar Ka Muqaddar,2024-11-29,hi,FALSE,INOX,Delhi,Afternoon,Gold,45,Male,4,Balcony,220,905,Credit Card,2024-12-09
TKT0000049,3176529,Singham Again,2024-11-01,hi,FALSE,Cinepolis,Bangalore,Afternoon,Silver,55,Male,2,Student,220,462,Wallet,2024-11-29
TKT0000050,8464396,War 2,2025-08-14,hi,FALSE,PVR Cinemas,Delhi,Evening,Platinum,19,Female,2,Regular,190,401,UPI,2025-09-06
TKT0000051,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,Mukta A2,Hyderabad,Night,Platinum,59,Male,3,Regular,220,674,UPI,2024-11-26
TKT0000052,6342506,Dhadak 2,2025-08-01,hi,FALSE,PVR Cinemas,Hyderabad,Evening,Gold,30,Male,2,Balcony,220,452,Debit Card,2025-08-29
TKT0000053,8464396,War 2,2025-08-14,hi,FALSE,Cinepolis,Hyderabad,Afternoon,Silver,34,Male,5,Balcony,160,821,Wallet,2025-09-07
TKT0000054,1227739,Homebound,2025-09-26,hi,FALSE,Carnival,Kolkata,Afternoon,Platinum,24,Male,5,Student,170,867,UPI,2025-10-24
TKT0000055,1179317,Lord Curzon Ki Haveli,2025-10-10,hi,FALSE,Wave,Kolkata,Morning,Silver,44,Male,4,Student,240,965,Net Banking,2025-10-18
TKT0000056,7712618,The Rabbit House,2025-01-03,hi,FALSE,Miraj,Chandigarh,Evening,Platinum,41,Female,5,Student,120,615,Wallet,2025-01-20
TKT0000057,9850593,Jigra,2024-10-11,hi,FALSE,Wave,Chandigarh,Night,Silver,53,Female,1,Balcony,240,250,UPI,2024-10-13
TKT0000058,4240601,Raid 2,2025-05-01,hi,FALSE,Mukta A2,Pune,Evening,Silver,29,Female,4,Student,160,660,Net Banking,2025-05-10
TKT0000059,1109086,War 2,2025-08-14,hi,FALSE,Wave,Hyderabad,Evening,Platinum,35,Male,5,Balcony,170,867,Credit Card,2025-09-11
TKT0000060,7745129,Jolly LLB 3,2025-09-19,hi,FALSE,Mukta A2,Kolkata,Evening,Gold,48,Female,3,Student,170,517,Net Banking,2025-09-26
TKT0000061,4240601,Raid 2,2025-05-01,hi,FALSE,Wave,Mumbai,Afternoon,Gold,14,Male,5,Student,99,508,Wallet,2025-05-22
TKT0000062,1486860,Haunted 3D: Ghosts of the Past,2025-09-26,hi,FALSE,Wave,Ahmedabad,Evening,Gold,12,Female,4,Balcony,140,574,Wallet,2025-09-30
TKT0000063,1179317,Lord Curzon Ki Haveli,2025-10-10,hi,FALSE,Cinepolis,Delhi,Evening,Silver,23,Female,3,VIP,140,426,Net Banking,2025-10-16
TKT0000064,3562219,Emergency,2025-01-17,hi,TRUE,Mukta A2,Kolkata,Afternoon,Gold,52,Female,1,Student,140,146,Debit Card,2025-02-15
TKT0000065,1196364,Thamma,2025-10-21,hi,TRUE,Cinepolis,Delhi,Morning,Platinum,55,Female,5,Regular,140,718,Debit Card,2025-10-30
TKT0000066,6905061,Krispy Rishtey,2024-10-18,hi,FALSE,PVR Cinemas,Hyderabad,Morning,Gold,37,Male,4,Regular,220,891,Wallet,2024-10-31
TKT0000067,4187179,Pushpa 2: The Rule,2024-12-05,hi,FALSE,Miraj,Mumbai,Morning,Silver,37,Male,1,VIP,120,138,Debit Card,2025-01-01
TKT0000068,1561205,Controll,2025-10-10,hi,FALSE,Cinepolis,Kolkata,Evening,Platinum,56,Male,1,Regular,170,187,Net Banking,2025-10-31
TKT0000069,2791647,Bhool Bhulaiyaa 3,2024-11-01,hi,TRUE,Wave,Bangalore,Morning,Gold,25,Female,4,VIP,180,731,Net Banking,2024-11-23
TKT0000070,1561205,Controll,2025-10-10,hi,FALSE,Cinepolis,Bangalore,Morning,Silver,48,Female,3,Student,220,674,UPI,2025-10-10
TKT0000071,3301424,Saiyaara,2025-07-18,hi,FALSE,PVR Cinemas,Kolkata,Morning,Platinum,19,Female,2,Regular,150,310,UPI,2025-07-19
TKT0000072,7802810,Baby John,2024-12-25,hi,FALSE,Cinepolis,Bangalore,Morning,Silver,16,Female,4,Balcony,140,585,Credit Card,2025-01-12
TKT0000073,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Miraj,Delhi,Morning,Silver,70,Male,1,VIP,140,152,Debit Card,2025-07-29
TKT0000074,4187179,Pushpa 2: The Rule,2024-12-05,hi,FALSE,INOX,Ahmedabad,Morning,Silver,12,Female,2,Regular,180,370,UPI,2024-12-29
TKT0000075,2988922,Sky Force,2025-01-24,hi,FALSE,Carnival,Bangalore,Evening,Gold,33,Female,2,Balcony,180,369,Credit Card,2025-02-03
TKT0000076,9850593,Jigra,2024-10-11,hi,FALSE,Miraj,Chandigarh,Morning,Gold,69,Male,2,VIP,140,305,Wallet,2024-10-30
TKT0000077,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Wave,Ahmedabad,Afternoon,Silver,32,Male,4,Balcony,170,691,Credit Card,2025-08-13
TKT0000078,7802810,Baby John,2024-12-25,hi,FALSE,Miraj,Mumbai,Evening,Platinum,27,Female,3,Balcony,190,581,Wallet,2025-01-19
TKT0000079,1434543,Ek Deewane Ki Deewaniyat,2025-10-21,hi,FALSE,PVR Cinemas,Mumbai,Night,Gold,54,Male,5,VIP,170,866,Credit Card,2025-10-28
TKT0000080,4427353,Hisaab Barabar,2025-01-24,hi,FALSE,Miraj,Ahmedabad,Evening,Gold,10,Male,1,Regular,120,131,Debit Card,2025-02-06
TKT0000081,7764093,Azaad,2025-01-17,hi,FALSE,PVR Cinemas,Pune,Evening,Gold,65,Female,3,Student,190,584,Debit Card,2025-02-16
TKT0000082,7640599,Sitaare Zameen Par,2025-06-20,hi,FALSE,INOX,Delhi,Evening,Gold,27,Female,2,Student,180,365,Debit Card,2025-07-06
TKT0000083,4469316,I Want to Talk,2024-11-22,hi,FALSE,Miraj,Bangalore,Morning,Gold,12,Male,3,Balcony,220,675,UPI,2024-12-02
TKT0000084,1248454,Sunny Sanskari Ki Tulsi Kumari,2025-10-02,hi,FALSE,Miraj,Chandigarh,Night,Gold,10,Male,4,Regular,170,695,Wallet,2025-10-16
TKT0000085,6342506,Dhadak 2,2025-08-01,hi,FALSE,Carnival,Bangalore,Evening,Platinum,55,Male,3,Regular,140,442,Credit Card,2025-08-22
TKT0000086,9744207,Naam (The Missing Identity),2024-11-22,hi,FALSE,Miraj,Kolkata,Morning,Silver,50,Female,3,VIP,170,517,Net Banking,2024-12-05
TKT0000087,7640599,Sitaare Zameen Par,2025-06-20,hi,FALSE,Cinepolis,Delhi,Evening,Silver,31,Male,2,Student,170,357,Debit Card,2025-07-08
TKT0000088,4469316,I Want to Talk,2024-11-22,hi,FALSE,Carnival,Ahmedabad,Morning,Gold,59,Male,4,Balcony,99,401,Wallet,2024-12-18
TKT0000089,6598281,Chhaava,2025-02-14,hi,FALSE,INOX,Pune,Evening,Silver,18,Male,2,Regular,150,324,UPI,2025-02-25
TKT0000090,6598281,Chhaava,2025-02-14,hi,FALSE,Mukta A2,Mumbai,Evening,Silver,49,Male,5,Student,140,706,UPI,2025-02-16
TKT0000091,3301424,Saiyaara,2025-07-18,hi,FALSE,Carnival,Hyderabad,Afternoon,Gold,70,Male,5,Student,140,716,Wallet,2025-08-14
TKT0000092,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Carnival,Mumbai,Night,Silver,38,Female,3,VIP,190,580,Net Banking,2025-08-03
TKT0000093,8464396,War 2,2025-08-14,hi,FALSE,Carnival,Pune,Night,Silver,27,Female,3,VIP,220,671,Debit Card,2025-09-02
TKT0000094,6422623,Sikandar,2025-03-30,hi,FALSE,Mukta A2,Bangalore,Evening,Gold,21,Male,5,Balcony,180,906,Wallet,2025-04-22
TKT0000095,3562219,Emergency,2025-01-17,hi,TRUE,INOX,Bangalore,Evening,Silver,64,Female,3,Student,120,377,Net Banking,2025-02-06
TKT0000096,3562219,Emergency,2025-01-17,hi,TRUE,Cinepolis,Chandigarh,Afternoon,Silver,56,Female,3,Regular,180,548,Wallet,2025-01-28
TKT0000097,6905061,Krispy Rishtey,2024-10-18,hi,FALSE,Carnival,Chandigarh,Morning,Platinum,18,Female,2,VIP,220,453,Net Banking,2024-10-25
TKT0000098,4577921,Bhool Chuk Maaf,2025-05-23,hi,FALSE,Wave,Hyderabad,Morning,Platinum,25,Female,1,VIP,170,193,Net Banking,2025-06-21
TKT0000099,7712618,The Rabbit House,2025-01-03,hi,FALSE,INOX,Mumbai,Afternoon,Silver,54,Female,5,Regular,160,816,Net Banking,2025-01-26
TKT0000100,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,Mukta A2,Kolkata,Morning,Gold,66,Male,2,Student,220,456,Credit Card,2024-11-19
TKT0000101,4469316,I Want to Talk,2024-11-22,hi,FALSE,Mukta A2,Pune,Evening,Gold,16,Other,3,VIP,170,527,UPI,2024-12-18
TKT0000102,1561205,Controll,2025-10-10,hi,FALSE,Carnival,Bangalore,Evening,Platinum,26,Female,5,Balcony,230,1170,Net Banking,2025-10-11
TKT0000103,7745129,Jolly LLB 3,2025-09-19,hi,FALSE,Cinepolis,Mumbai,Night,Platinum,57,Male,4,Regular,140,572,Debit Card,2025-10-01
TKT0000104,3176529,Singham Again,2024-11-01,hi,FALSE,Cinepolis,Pune,Afternoon,Gold,37,Male,5,Student,170,858,Debit Card,2024-11-21
TKT0000105,3301424,Saiyaara,2025-07-18,hi,FALSE,Carnival,Delhi,Night,Platinum,61,Female,4,Student,170,685,Net Banking,2025-07-18
TKT0000106,7764093,Azaad,2025-01-17,hi,FALSE,Miraj,Pune,Night,Platinum,59,Female,3,Student,180,548,Debit Card,2025-02-07
TKT0000107,1561142,Saira Khan Case,2025-10-10,hi,FALSE,Carnival,Bangalore,Evening,Platinum,44,Female,1,Balcony,170,182,Debit Card,2025-10-31
TKT0000108,3693097,Vijay 69,2024-11-08,hi,FALSE,Wave,Ahmedabad,Morning,Platinum,69,Female,4,VIP,180,733,Wallet,2024-11-30
TKT0000109,6342506,Dhadak 2,2025-08-01,hi,FALSE,Miraj,Pune,Afternoon,Platinum,43,Female,2,Student,220,447,Net Banking,2025-08-13
TKT0000110,3301424,Saiyaara,2025-07-18,hi,FALSE,Mukta A2,Pune,Afternoon,Platinum,19,Other,5,VIP,220,1124,Debit Card,2025-07-28
TKT0000111,8464396,War 2,2025-08-14,hi,FALSE,PVR Cinemas,Pune,Morning,Silver,19,Female,4,Student,170,701,Debit Card,2025-08-27
TKT0000112,7745129,Jolly LLB 3,2025-09-19,hi,FALSE,Wave,Bangalore,Evening,Gold,47,Female,5,Regular,180,909,Wallet,2025-09-20
TKT0000113,3301424,Saiyaara,2025-07-18,hi,FALSE,Wave,Mumbai,Evening,Platinum,56,Male,4,Student,240,981,Net Banking,2025-07-20
TKT0000114,4187179,Pushpa 2: The Rule,2024-12-05,hi,FALSE,Wave,Pune,Afternoon,Silver,54,Female,5,Student,230,1167,UPI,2024-12-07
TKT0000115,4240601,Raid 2,2025-05-01,hi,FALSE,Mukta A2,Mumbai,Night,Silver,65,Male,1,VIP,120,129,Credit Card,2025-05-23
TKT0000116,7712618,The Rabbit House,2025-01-03,hi,FALSE,Carnival,Kolkata,Evening,Gold,65,Female,1,Student,99,110,Net Banking,2025-01-23
TKT0000117,9850593,Jigra,2024-10-11,hi,FALSE,Mukta A2,Mumbai,Afternoon,Gold,65,Male,2,Student,140,294,Net Banking,2024-10-15
TKT0000118,4240601,Raid 2,2025-05-01,hi,FALSE,INOX,Delhi,Morning,Platinum,45,Female,1,Regular,150,172,Credit Card,2025-05-02
TKT0000119,1109086,War 2,2025-08-14,hi,FALSE,INOX,Mumbai,Night,Gold,48,Male,4,VIP,230,929,Net Banking,2025-09-07
TKT0000120,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Cinepolis,Chandigarh,Afternoon,Silver,55,Male,2,Regular,140,285,Credit Card,2025-08-06
TKT0000121,7712618,The Rabbit House,2025-01-03,hi,FALSE,PVR Cinemas,Delhi,Morning,Gold,20,Male,3,Regular,120,379,Net Banking,2025-01-14
TKT0000122,1196364,Thamma,2025-10-21,hi,TRUE,Miraj,Pune,Morning,Platinum,20,Male,5,Student,160,811,Debit Card,2025-10-26
TKT0000123,3301424,Saiyaara,2025-07-18,hi,FALSE,Mukta A2,Chandigarh,Morning,Silver,39,Male,5,Student,230,1161,Net Banking,2025-07-27
TKT0000124,8464396,War 2,2025-08-14,hi,FALSE,Miraj,Ahmedabad,Afternoon,Gold,19,Female,4,Student,190,775,Net Banking,2025-08-17
TKT0000125,7802810,Baby John,2024-12-25,hi,FALSE,Cinepolis,Kolkata,Evening,Gold,64,Male,3,Regular,120,382,Credit Card,2025-01-10
TKT0000126,1248454,Sunny Sanskari Ki Tulsi Kumari,2025-10-02,hi,FALSE,Mukta A2,Bangalore,Morning,Gold,20,Male,1,Regular,170,191,UPI,2025-10-21
TKT0000127,9850593,Jigra,2024-10-11,hi,FALSE,Cinepolis,Chandigarh,Night,Gold,14,Female,5,Regular,180,915,Credit Card,2024-11-02
TKT0000128,3693097,Vijay 69,2024-11-08,hi,FALSE,Mukta A2,Hyderabad,Afternoon,Silver,24,Female,1,Student,140,157,Wallet,2024-11-28
TKT0000129,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Carnival,Delhi,Morning,Gold,19,Female,4,Balcony,140,582,Debit Card,2025-08-07
TKT0000130,7446754,Vicky Vidya Ka Woh Wala Video,2024-10-11,hi,FALSE,INOX,Hyderabad,Afternoon,Silver,46,Female,4,VIP,170,688,UPI,2024-10-18
TKT0000131,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,Carnival,Bangalore,Night,Gold,62,Female,3,Regular,220,675,UPI,2024-12-03
TKT0000132,4427353,Hisaab Barabar,2025-01-24,hi,FALSE,Wave,Pune,Night,Gold,25,Other,5,Regular,180,905,Debit Card,2025-01-24
TKT0000133,1196364,Thamma,2025-10-21,hi,TRUE,Miraj,Chandigarh,Morning,Gold,38,Female,5,VIP,170,855,Debit Card,27-10-2025
TKT0000134,1682981,Mission Grey House,2025-01-17,hi,FALSE,PVR Cinemas,Pune,Afternoon,Gold,15,Male,5,Balcony,150,755,Credit Card,2025-01-21
TKT0000135,8464396,War 2,2025-08-14,hi,FALSE,INOX,Chandigarh,Morning,Gold,36,Female,2,VIP,220,445,Debit Card,2025-08-22
TKT0000136,9850593,Jigra,2024-10-11,hi,FALSE,Cinepolis,Mumbai,Afternoon,Platinum,46,Male,1,Student,190,214,Debit Card,2024-11-09
TKT0000137,7745129,Jolly LLB 3,2025-09-19,hi,FALSE,Carnival,Bangalore,Morning,Platinum,15,Male,1,Student,190,212,Credit Card,2025-10-04
TKT0000138,7745129,Jolly LLB 3,2025-09-19,hi,FALSE,Carnival,Delhi,Afternoon,Platinum,36,Female,3,Balcony,140,441,Wallet,2025-09-26
TKT0000139,7712618,The Rabbit House,2025-01-03,hi,FALSE,Wave,Kolkata,Night,Gold,31,Male,3,VIP,170,524,Debit Card,2025-01-12
TKT0000140,1871807,Sikandar Ka Muqaddar,2024-11-29,hi,FALSE,Miraj,Pune,Evening,Gold,49,Male,1,VIP,140,159,Wallet,2024-12-09
TKT0000141,6598281,Chhaava,2025-02-14,hi,FALSE,Miraj,Kolkata,Afternoon,Gold,46,Female,3,VIP,150,456,Wallet,2025-03-10
TKT0000142,6422623,Sikandar,2025-03-30,hi,FALSE,Cinepolis,Pune,Night,Platinum,35,Male,3,Regular,180,549,Debit Card,2025-04-21
TKT0000143,1434543,Ek Deewane Ki Deewaniyat,2025-10-21,hi,FALSE,Miraj,Mumbai,Night,Gold,57,Male,3,Student,170,525,UPI,2025-10-23
TKT0000144,1871807,Sikandar Ka Muqaddar,2024-11-29,hi,FALSE,Cinepolis,Delhi,Evening,Silver,22,Male,3,VIP,220,682,UPI,2024-12-18
TKT0000145,1227739,Homebound,2025-09-26,hi,FALSE,Miraj,Mumbai,Afternoon,Silver,69,Male,5,Regular,160,810,Debit Card,2025-10-26
TKT0000146,2988922,Sky Force,2025-01-24,hi,FALSE,Mukta A2,Chandigarh,Night,Silver,29,Female,5,VIP,130,660,Credit Card,2025-02-09
TKT0000147,7802810,Baby John,2024-12-25,hi,FALSE,Wave,Kolkata,Morning,Platinum,17,Female,2,VIP,120,259,UPI,2025-01-24
TKT0000148,7802810,Baby John,2024-12-25,hi,FALSE,Cinepolis,Hyderabad,Evening,Platinum,68,Female,2,VIP,190,398,Net Banking,2025-01-11
TKT0000149,2190011,Mahavatar Narsimha,2025-07-25,hi,FALSE,Miraj,Kolkata,Evening,Silver,35,Female,1,Student,140,157,Credit Card,2025-08-05
TKT0000150,6598281,Chhaava,2025-02-14,hi,FALSE,Carnival,Mumbai,Afternoon,Silver,12,Female,3,Student,120,375,Debit Card,2025-03-13
TKT0000151,1561142,Saira Khan Case,2025-10-10,hi,FALSE,PVR Cinemas,Ahmedabad,Morning,Gold,52,Female,5,Balcony,240,1206,UPI,2025-10-18
TKT0000152,9744207,Naam (The Missing Identity),2024-11-22,hi,FALSE,Mukta A2,Ahmedabad,Night,Silver,49,Female,3,Student,140,430,UPI,2024-12-11
TKT0000153,7745129,Jolly LLB 3,2025-09-19,hi,FALSE,PVR Cinemas,Bangalore,Morning,Silver,12,Male,3,Student,220,669,Debit Card,2025-10-16
TKT0000154,7381483,Fateh,2025-01-10,hi,FALSE,INOX,Mumbai,Night,Platinum,18,Male,5,VIP,120,620,Credit Card,2025-01-16
TKT0000155,1561205,Controll,2025-10-10,hi,FALSE,INOX,Hyderabad,Night,Silver,47,Female,1,Regular,170,181,Credit Card,2025-10-14
TKT0000156,2988922,Sky Force,2025-01-24,hi,FALSE,Cinepolis,Kolkata,Night,Silver,13,Female,5,Balcony,200,1008,Debit Card,2025-01-25
TKT0000157,8586250,The Sabarmati Report,2024-11-15,hi,FALSE,Mukta A2,Bangalore,Evening,Gold,13,Female,5,Balcony,170,861,Debit Card,2024-11-19
TKT0000158,2791647,Bhool Bhulaiyaa 3,2024-11-01,hi,TRUE,Miraj,Mumbai,Afternoon,Gold,36,Female,4,VIP,230,935,Net Banking,2024-11-03
TKT0000159,6422623,Sikandar,2025-03-30,hi,FALSE,Cinepolis,Chandigarh,Afternoon,Silver,18,Male,5,Student,150,771,Wallet,2025-04-25
TKT0000160,1179317,Lord Curzon Ki Haveli,2025-10-10,hi,FALSE,INOX,Bangalore,Evening,Gold,63,Female,4,Student,140,579,Net Banking,2025-10-30
TKT0000161,2988922,Sky Force,2025-01-24,hi,FALSE,Mukta A2,Pune,Evening,Gold,36,Female,3,VIP,150,474,Net Banking,2025-02-17
TKT0000162,7446754,Vicky Vidya Ka Woh Wala Video,2024-10-11,hi,FALSE,INOX,Bangalore,Morning,Silver,59,Male,4,Balcony,180,736,Net Banking,2024-11-10
TKT0000163,1434543,Ek Deewane Ki Deewaniyat,2025-10-21,hi,FALSE,INOX,Kolkata,Afternoon,Platinum,25,Male,1,Regular,220,225,Credit Card,2025-10-31
TKT0000164,3693097,Vijay 69,2024-11-08,hi,FALSE,PVR Cinemas,Chandigarh,Afternoon,Platinum,29,Female,1,Student,150,155,Credit Card,2024-11-23
TKT0000165,1486860,Haunted 3D: Ghosts of the Past,2025-09-26,hi,FALSE,PVR Cinemas,Ahmedabad,Evening,Silver,38,Male,1,Balcony,170,193,Net Banking,2025-10-06
TKT0000166,1196364,Thamma,2025-10-21,hi,TRUE,Cinepolis,Ahmedabad,Morning,Gold,42,Female,5,Student,170,863,UPI,2024-11-03
TKT0000167,3693097,Vijay 69,2024-11-08,hi,FALSE,Miraj,Ahmedabad,Evening,Platinum,59,Female,5,Regular,220,1108,Credit Card,2024-11-20
